Object ID,Longitude,Latitude,Distance (Parsecs),Name,Diameter (Parsecs)
6497,100.9,4.4,910,HDE     239758,0
6485,99.7,2.6,910,HDE     239767,0
6507,101.5,0.3,3470,HDE     239856,0
6524,102.7,0.8,3980,HDE     239886,0
6529,103,1,3470,HDE     239895,0
6545,104.2,-1,3470,HDE     239967,0
12801,111.7,-4.4,3210,HDE     239967,0
6549,104.6,-0.8,910,HDE     239978,0
12760,106.6,-1.3,2250,HDE     240047,0
6574,107.3,-0.6,3470,HDE     240068,0
6585,108.4,-2.8,2090,HDE     240160,0
6587,108.5,-2.6,2090,HDE     240165,0
6583,108.3,-3.1,2090,HDE     240168,0
6589,108.6,-2.7,2090,HDE     240171,0
12788,110.7,-1.2,1130,HDE     240230,0
6634,111.5,-0.9,2630,HDE     240250,0
6639,112.1,-1.3,2630,HDE     240288A,0
12817,112.7,-1.6,530,HDE     240312,0
12819,112.8,-2.2,2910,HDE     240319,0
6657,113.3,-1.6,2630,HDE     240331,0
12822,113.9,-1.2,1080,HDE     240344,0
6701,116.4,-1.9,2510,HDE     240464,0
7176,173.5,-1.7,3020,HDE     242908,0
7190,173.7,-1.8,3020,HDE     242926,0
7178,173.6,-1.7,3020,HDE     242935,0
7175,173.5,-1.5,3020,HDE     243018,0
13203,174.3,-0.8,4700,HDE     243827,0
13217,179.9,-2.8,2020,HDE     244894,0
13249,185.5,-5.9,1230,HDE     245310A,0
7200,174.9,1.3,1320,HDE     245493,0
13222,181.3,-1.1,2360,HDE     246878,0
